Landkreis/Stadt,Fälle bis gestern,Neu heute,Gesamt
Bergstraße,6,9,15
Darmstadt (Stadt),-,2,2
Darmstadt-Dieburg,4,1,5
Frankfurt,15,6,21
Fulda,8,2,10
Gießen,5,3,8
Groß-Gerau,3,5,8
Hersfeld-Rotenburg,6,-,6
Hochtaunuskreis,5,2,7
Region Kassel,14,6,20
Lahn-Dill-Kreis,5,4,9
Limburg-Weilburg,-,-,-
Main-Kinzig-Kreis,11,2,13
Main-Taunus-Kreis,4,8,12
Marburg-Biedenkopf,7,1,8
Odenwaldkreis,-,-,-
Offenbach (Landkreis),6,-,6
Offenbach (Stadt),1,-,1
Rheingau-Taunus-Kreis,14,-,14
Schwalm-Eder-Kreis,4,5,9
Vogelsbergkreis,2,1,3
Waldeck-Frankenberg,4,1,5
Werra-Meißner-Kreis,-,-,-
Wetteraukreis,2,-,2
Wiesbaden (Stadt),7,-,7
