Bundesland,Anzahl,Differenz zum Vortag,Erkr./100.000 Einw.,Todesfälle,Schwerpunkt
Baden-Württem­berg,3668,+922,33,16,
Bayern,2960,+559,23,19,
Berlin,866,+135,23,1,
Brandenburg,254,+62,10,0,
Bremen,142,+21,21,0,
Hamburg,587,+1,32,0,
Hessen,1080,+267,17,2,
Mecklenburg-Vor­pommern,165,+34,10,0,
Niedersachsen,1023,+220,13,0,
Nordrhein-West­falen,3542,+45,20,6,Landkreis Heinsberg
Rhein­land-Pfalz,938,+137,23,1,
Saarland,187,+41,19,0,
Sachsen,567,+173,14,0,
Sachsen-Anhalt,188,+8,9,0,
Schles­wig-Holstein,308,+42,11,1,
Thüringen,187,+38,9,0,
Gesamt,16662,+2705,20,46,

