Bundesland,Anzahl,Differenz zum Vortag,Erkr./100.000 Einw.,Todesfälle,Schwerpunkt
Baden-Württemberg,2746,+591,25,10,
Bayern,2401,+709,18,12,
Berlin,731,+158,20,0,
Brandenburg,192,+58,8,0,
Bremen,121,+41,18,0,
Hamburg,586,+154,32,0,
Hessen,813,+131,13,1,
Mecklenburg-Vorpommern,131,+33,8,0,
Niedersachsen,803,+134,10,0,
Nordrhein-Westfalen,3497,+464,20,6,Landkreis Heinsberg
Rheinland-Pfalz,801,+164,20,1,
Saarland,146,+47,15,0,
Sachsen,394,+119,10,0,
Sachsen-Anhalt,180,+40,8,0,
Schleswig-Holstein,266,+64,9,1,
Thüringen,149,+51,7,0,
Gesamt,13957,+2958,17,31,

