Bundesland,Anzahl,Differenz zum Vortag,Erkr./100.000 Einw.,Todesfälle,Schwerpunkt
Baden-Württemberg,1609,+130,14.5,2,
Bayern,1243,+134,9.5,4,
Berlin,391,+46,10.4,0,
Brandenburg,92,+19,3.7,0,
Bremen,69,+12,10.1,0,
Hamburg,358,+48,19.4,0,
Hessen,432,+59,6.9,0,
Mecklenburg-Vorpommern,56,+11,3.5,0,
Niedersachsen,478,+153,6.0,0,
Nordrhein-Westfalen,2372,+267,13.2,6,Landkreis Heinsberg
Rheinland-Pfalz,474,+32,11.6,0,
Saarland,88,+13,8.9,0,
Sachsen,198,+16,4.9,0,
Sachsen-Anhalt,105,+47,4.8,0,
Schleswig-Holstein,159,+32,5.5,0,
Thüringen,74,+23,3.5,0,
Gesamt,8198,+1042,9.9,12,

