Kreis,Fälle,Übermittelt
Landeshauptstadt Dresden,11,11                      
Stadt Chemnitz,10,6                      
Stadt Leipzig,19,19                      
Landkreis Bautzen,14,14                      
Erzgebirgskreis,2,2                      
Landkreis Görlitz,6,6                      
Landkreis Leipzig,11,11                      
Landkreis Meißen,9,9                      
Landkreis Mittelsachsen,0,0                      
Landkreis Nordsachsen,2,2                      
Landkreis Sächsische Schweiz-Osterzgebirge,11,9                      
Vogtlandkreis,0,0                      
Landkreis Zwickau,4,4                      
Gesamtzahl der Infektionen,99,93                      
