Kreis/Stadt,bestätigte Fälle,Inzidenz,Todesfälle
LK Bergstraße,45,16.7,
LK Darmstadt-Dieburg,63,21.2,
LK Fulda,78,35.0,
LK Gießen,63,23.4,
LK Groß-Gerau,87,31.6,
LK Hersfeld-Rotenburg,26,21.5,
LK Hochtaunuskreis,72,30.4,
LK Kassel,44,19.0,
LK Lahn-Dill-Kreis,65,25.6,
LK Limburg-Weilburg,46,26.7,
LK Main-Kinzig-Kreis,57,13.6,
LK Main-Taunus-Kreis,55,23.1,1
LK Marburg-Biedenkopf,48,19.5,
LK Odenwaldkreis,23,23.7,
LK Offenbach,77,21.7,1
LK Rheingau-Taunus-Kreis,31,16.6,
LK Schwalm-Eder-Kreis,69,38.3,
LK Vogelsbergkreis,25,23.6,
LK Waldeck-Frankenberg,27,17.2,
LK Werra-Meißner-Kreis,5,5.0,
LK Wetteraukreis,41,13.3,
SK Darmstadt,23,14.5,
SK Frankfurt am Main,164,21.6,
SK Kassel,43,21.3,
SK Offenbach,8,6.2,
SK Wiesbaden,67,24.1,1
Gesamt,1352,27.0,3
