Landkreis/Stadt,Fälle bis gestern,Neu heute,Gesamt
Bergstraße,6,,6
Darmstadt (Stadt),,,
Darmstadt-Dieburg,1,3,4
Frankfurt,15,,15
Fulda,5,3,8
Gießen,5,,5
Groß-Gerau,1,2,3
Hersfeld-Rotenburg,6,,6
Hochtaunuskreis,4,1,5
Region Kassel,6,8,14
Lahn-Dill-Kreis,5,,5
Limburg-Weilburg,-,,
Main-Kinzig-Kreis,2,9,11
Main-Taunus-Kreis,3,1,4
Marburg-Biedenkopf,7,,7
Odenwaldkreis,-,,
Offenbach (Landkreis),5,1,6
Offenbach (Stadt),1,,1
Rheingau-Taunus-Kreis,5,9,14
Schwalm-Eder-Kreis,1,3,4
Vogelsbergkreis,2,,2
Waldeck-Frankenberg,4,,4
Werra-Meißner-Kreis,-,,
Wetteraukreis,1,1,2
Wiesbaden (Stadt),6,1,7
