Landkreis/Stadt,Fälle bis gestern,Neu heute,Gesamt
Bergstraße,18,1,19
Darmstadt (Stadt),6,-,6
Darmstadt-Dieburg,6,-,6
Frankfurt,21,-,21
Fulda,29,9,38
Gießen,13,1,14
Groß-Gerau,10,-,10
Hersfeld-Rotenburg,12,-,12
Hochtaunuskreis,9,9,18
Region Kassel,22,-,22
Lahn-Dill-Kreis,9,9,18
Limburg-Weilburg,-,3,3
Main-Kinzig-Kreis,21,-,21
Main-Taunus-Kreis,12,-,12
Marburg-Biedenkopf,23,3,26
Odenwaldkreis,2,-,2
Offenbach (Landkreis),8,3,11
Offenbach (Stadt),1,-,1
Rheingau-Taunus-Kreis,18,-,18
Schwalm-Eder-Kreis,15,9,24
Vogelsbergkreis,4,-,4
Waldeck-Frankenberg,8,-,8
Werra-Meißner-Kreis,-,1,1
Wetteraukreis,8,-,8
Wiesbaden (Stadt),7,12,19
