Bundesland,Anzahl,Differenz zum Vortag,Erkr./100.000 Einw.,Todesfälle,Schwerpunkt
Baden-Württem­berg,3811,+4,34,21,
Bayern,4892,+1242,37,26,
Berlin,1077,+53,29,1,
Brandenburg,288,+14,11,,
Bremen,170,+5,25,,
Hamburg,943,+71,51,,
Hessen,1347,+172,21,3,
Mecklenburg-Vor­pommern,172,0,11,,
Niedersachsen,1483,+177,19,4,
Nordrhein-West­falen,5615,+2070,31,28,Landkreis Heinsberg
Rhein­land-Pfalz,1177,+124,29,2,
Saarland,200,+13,20,,
Sachsen,653,+47,16,,
Sachsen-Anhalt,212,+1,10,,
Schles­wig-Holstein,383,+36,13,1,
Thüringen,249,+33,12,,
Gesamt,22672,+4062,27,86,

